gene	t
CEACAM5	28.579966319849113
MVP	28.56402584621847
AF064858.6	28.505491949534843
CAPN5	28.483587374206305
DENND3	28.46180844777425
GGT2	28.4582130623494
GPR39	28.45396961995985
SLC39A8	28.453846761177168
CLDN10	28.424629513311917
DNAI2	28.42244180001681
ACSL4	28.412427795151128
WFDC2	28.40656838810778
IL1RAP	28.402693871725532
SDR16C5	28.399202358018393
IL10RB-AS1	28.380755710446707
ENO1	28.357127095384026
CEBPD	28.326780711040822
SUSD1	28.296438812741012
PPP4R1	28.29322991476164
EDEM2	28.276127579194586
AC083900.1	28.25231127637451
SOCS1	28.231876111102864
ZNF503	28.216131062383354
ADAP1	28.20539441783672
OMG	28.16880574193568
CTD-2357A8.3	28.165950444532378
PPBP	28.115188432467093
POR	28.10986921439901
RP11-424M22.3	28.092569816494816
FMO3	28.079521385296655
LINC00881	28.07407746735262
BPIFA2	28.048495300173357
FAM89A	28.04706482401275
RP11-29G8.3	28.045810240559852
C8B	28.04040200054347
COLCA1	28.038061255476993
FGFBP1	28.013266374569948
GULP1	28.01016133397286
GPX1P1	27.98210140282875
IHH	27.975187880331895
RP11-35N6.1	27.969507159111657
SLC15A2	27.95287184121665
RP11-797A18.6	27.925739209256804
RP3-337O18.9	27.91561572935838
SH3TC1	27.881469569521194
TMEM243	27.85332086675481
TMEM173	27.839886015290976
SMURF1	27.83408672038641
C1ORF87	27.83239993635839
HHIP-AS1	27.829737237420268
CARD11	27.805128442894205
FAM92B	27.77782022871954
EFHD2	27.774916633442224
HNF4A	27.747797832570328
TRPC6	27.742680047105512
DRGX	27.72142885055417
PEBP4	27.714816223253937
CD300LF	27.7107466047007
CLPTM1L	27.696635993142586
ST3GAL5-AS1	27.6920117191642
RPL13AP17	27.664444659467723
ALPK3	27.65445976474639
TRABD2A	27.621648740139342
ZDHHC2	27.610991230512244
CLIC3	27.60883419166476
ABCC6P2	27.554250758653566
GFRA3	27.532715844339375
BCL2A1	27.52254516030554
IFNAR2	27.522540250676514
ARHGAP27	27.505357379282497
ASB9	27.47205596694247
RP11-539E17.5	27.467112155914005
PLCH1	27.441078384785254
USB1	27.41691010144126
RMDN2-AS1	27.414585025988263
SH3BGRL2	27.407281972490168
CTSA	27.40388380809551
ITM2C	27.382405441749373
RP11-548P2.2	27.355702984052837
GGTLC2	27.355562914931586
C11ORF71	27.346068424452614
VWA3B	27.339146461647662
DUOX2	27.301133681671796
GPRIN2	27.27673655117551
PITPNM2	27.26738674006084
AC079630.2	27.26096698749039
KSR1	27.207863375528003
GOLGA7B	27.20685952229559
CLDN23	27.201370949599518
RP11-449J21.5	27.193095865604736
NUP210L	27.190037937832074
ONECUT1	27.18810032389499
KBTBD12	27.169362681478244
ITLN1	27.15574402271334
RP11-1223D19.2	27.150016683394576
C1GALT1	27.13906552759337
LSAMP	27.133054854263474
SMPDL3B	27.123861045595707
LIF	27.058265363821373
RPLP0P6	27.044645541236278
MIR663AHG	27.03930342012346
OSBPL3	27.035837580529122
FAM129B	27.015805322022526
FCN3	27.012625326184363
RP11-80P20.3	27.009716107635136
RP11-285E9.6	27.00844603838264
TMEM8A	26.99908852961384
RP11-79H23.3	26.99528280123373
RP11-443P15.2	26.98296279461377
SLFN13	26.95819938035018
ANKRD65	26.95155193742151
RP11-243M5.2	26.94857771469044
INMT	26.943181762354097
B3GALT2	26.901361889335362
LINC00888	26.896987979382292
RP11-434I12.3	26.82741549225136
E2F4	26.820187400660352
RP11-620J15.2	26.801653562221812
RP11-400N13.2	26.792974803596653
